neighbourhood_cleansed,latitude,longitude
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93664,-77.02298
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91902,-77.04261
"Shaw, Logan Circle",38.90746,-77.02716
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91223,-77.01067
"West End, Foggy Bottom, GWU",38.90153,-77.05434
"West End, Foggy Bottom, GWU",38.8996,-77.05277
"Shaw, Logan Circle",38.91054,-77.02149
"Brightwood Park, Crestwood, Petworth",38.9413,-77.03284
"Friendship Heights, American University Park, Tenleytown",38.9604,-77.08253
"Dupont Circle, Connecticut Avenue/K Street",38.9135,-77.04356
"Union Station, Stanton Park, Kingman Park",38.89455,-76.9911
"Shaw, Logan Circle",38.91007,-77.03316
"Brightwood Park, Crestwood, Petworth",38.95132,-77.02831
"Capitol Hill, Lincoln Park",38.88458,-77.00118
"Brightwood Park, Crestwood, Petworth",38.95152,-77.021
"Dupont Circle, Connecticut Avenue/K Street",38.90989,-77.04602
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92275,-77.04161
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91843,-77.04338
"Howard University, Le Droit Park, Cardozo/Shaw",38.91491,-77.02544
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91508,-77.00122
"Union Station, Stanton Park, Kingman Park",38.90419,-77.0022
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93065,-77.04444
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87164,-77.01247
"Cathedral Heights, McLean Gardens, Glover Park",38.93152,-77.08399
"Hawthorne, Barnaby Woods, Chevy Chase",38.96594,-77.078
"Brightwood Park, Crestwood, Petworth",38.94091,-77.0195
"Cathedral Heights, McLean Gardens, Glover Park",38.92090039016265,-77.07768982807863
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92489,-77.02806
"Shaw, Logan Circle",38.91341,-77.02253
"North Michigan Park, Michigan Park, University Heights",38.94858,-76.99163
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9316,-77.02438
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93441,-77.02773
"Union Station, Stanton Park, Kingman Park",38.90179,-76.99127
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93362,-77.02555
"Dupont Circle, Connecticut Avenue/K Street",38.91579,-77.04042
"Brightwood Park, Crestwood, Petworth",38.94012,-77.03388
"Union Station, Stanton Park, Kingman Park",38.89489,-76.98935
"Shaw, Logan Circle",38.9126,-77.01748
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92042,-77.03977
"Union Station, Stanton Park, Kingman Park",38.90438,-77.00177
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91897,-77.0464
"Union Station, Stanton Park, Kingman Park",38.896683,-77.0008129
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92918,-77.04035
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92263,-77.04492
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93118,-77.03811
"Capitol Hill, Lincoln Park",38.88981,-76.98762
"Shaw, Logan Circle",38.90807,-77.03174
"Douglas, Shipley Terrace",38.84136,-76.97888
"Union Station, Stanton Park, Kingman Park",38.89864,-76.987747
"West End, Foggy Bottom, GWU",38.90566,-77.05131
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96885,-77.00968
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96971,-77.00793
"Brightwood Park, Crestwood, Petworth",38.94334,-77.01426
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93584,-77.04107
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313
"Union Station, Stanton Park, Kingman Park",38.90192,-77.00103
"North Cleveland Park, Forest Hills, Van Ness",38.95442,-77.07159
"Takoma, Brightwood, Manor Park",38.97735,-77.02458
"Capitol Hill, Lincoln Park",38.89014053344727,-77.00020599365234
"Capitol Hill, Lincoln Park",38.89068,-77.00155
"West End, Foggy Bottom, GWU",38.9076,-77.04689
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90632,-77.08163
"Union Station, Stanton Park, Kingman Park",38.9042,-77.00228
"Takoma, Brightwood, Manor Park",38.96725,-77.02451
"Dupont Circle, Connecticut Avenue/K Street",38.90645,-77.03694
"Union Station, Stanton Park, Kingman Park",38.90012,-76.99736
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92317,-77.00073
"Brightwood Park, Crestwood, Petworth",38.95356,-77.03007
"Brightwood Park, Crestwood, Petworth",38.94465,-77.01808
"Georgetown, Burleith/Hillandale",38.90912,-77.05487
"Shaw, Logan Circle",38.9136,-77.02838
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9244,-77.03576
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9252,-77.03629
"Dupont Circle, Connecticut Avenue/K Street",38.90887,-77.04234
"Capitol Hill, Lincoln Park",38.8892,-76.98778
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91105,-77.08691
"Dupont Circle, Connecticut Avenue/K Street",38.91496,-77.0425
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87859,-77.02019
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93443,-77.03307
