neighbourhood_cleansed,latitude,longitude
"Howard University, Le Droit Park, Cardozo/Shaw",38.91527,-77.02425
"Union Station, Stanton Park, Kingman Park",38.89963,-76.99885
"Capitol Hill, Lincoln Park",38.88417,-77.00447
"Woodridge, Fort Lincoln, Gateway",38.93205,-76.96768
"Georgetown, Burleith/Hillandale",38.90359,-77.06171
"Georgetown, Burleith/Hillandale",38.90325,-77.06205
"Georgetown, Burleith/Hillandale",38.90333,-77.06155
"Georgetown, Burleith/Hillandale",38.90359,-77.06019
"Georgetown, Burleith/Hillandale",38.90332,-77.06146
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9045,-77.02655
"Friendship Heights, American University Park, Tenleytown",38.95405,-77.0943
"Howard University, Le Droit Park, Cardozo/Shaw",38.91937,-77.02856
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90192,-77.01775
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93212,-77.04071
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92082,-77.0408
"Union Station, Stanton Park, Kingman Park",38.89502,-77.00133
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90461,-77.01486
"Brookland, Brentwood, Langdon",38.92578,-76.97788
"Friendship Heights, American University Park, Tenleytown",38.95273,-77.09398
"Union Station, Stanton Park, Kingman Park",38.89892,-76.98581
"Capitol Hill, Lincoln Park",38.8919,-76.99892
"Brookland, Brentwood, Langdon",38.92646,-76.9784
"Georgetown, Burleith/Hillandale",38.9027,-77.06417
"Brightwood Park, Crestwood, Petworth",38.93723,-77.03867
"Shaw, Logan Circle",38.91044,-77.02902
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9037,-77.01647
"Takoma, Brightwood, Manor Park",38.95799,-77.01028
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90162,-77.01966
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93545,-77.03641
"Shaw, Logan Circle",38.90857,-77.0305
"Woodridge, Fort Lincoln, Gateway",38.93538,-76.97097
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.899914,-77.03313
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93436,-77.04308
"Takoma, Brightwood, Manor Park",38.96723,-77.03212
"Union Station, Stanton Park, Kingman Park",38.89433,-76.98368
"Howard University, Le Droit Park, Cardozo/Shaw",38.91523,-77.02154
"Union Station, Stanton Park, Kingman Park",38.8961,-76.98422
"Howard University, Le Droit Park, Cardozo/Shaw",38.91652,-77.01918
"Shaw, Logan Circle",38.9113,-77.02155
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92193,-77.01183
"Dupont Circle, Connecticut Avenue/K Street",38.91131,-77.04399
"Douglas, Shipley Terrace",38.84485,-76.98004
"Capitol Hill, Lincoln Park",38.8865,-76.99323
"Capitol Hill, Lincoln Park",38.88974,-77.00116
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92987,-77.02406
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.91997,-77.03452
"Dupont Circle, Connecticut Avenue/K Street",38.90678,-77.03665
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90163,-77.01006
"Brightwood Park, Crestwood, Petworth",38.93728,-77.02303
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91369,-77.00326
"Takoma, Brightwood, Manor Park",38.9731330871582,-77.02529907226562
Historic Anacostia,38.86294,-76.98751
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93052,-77.02052
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90554,-76.98265
"Capitol Hill, Lincoln Park",38.88427,-77.00511
"Union Station, Stanton Park, Kingman Park",38.89236,-77.00129
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93326,-77.04055
"Howard University, Le Droit Park, Cardozo/Shaw",38.91785,-77.0282
"Brightwood Park, Crestwood, Petworth",38.94381,-77.02364
"Howard University, Le Droit Park, Cardozo/Shaw",38.91843,-77.03257
"Capitol Hill, Lincoln Park",38.88615,-76.99506
"Near Southeast, Navy Yard",38.87216,-77.00608
"Brightwood Park, Crestwood, Petworth",38.95697,-77.03259
"Shaw, Logan Circle",38.90651,-77.0301
"Howard University, Le Droit Park, Cardozo/Shaw",38.9167,-77.02259
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9276,-77.02363
"Shaw, Logan Circle",38.91132,-77.03001
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90658,-77.01497
"Union Station, Stanton Park, Kingman Park",38.89414,-76.98288
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8762,-77.00938
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90561,-77.02944
"Howard University, Le Droit Park, Cardozo/Shaw",38.91813,-77.02945
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92311,-77.02389
"Shaw, Logan Circle",38.90949,-77.02984
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.90696,-77.08194
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92834,-77.01991
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.86472,-76.96929
"Shaw, Logan Circle",38.90796,-77.03166
"Union Station, Stanton Park, Kingman Park",38.89482,-76.98525
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89926,-77.01665
"Union Station, Stanton Park, Kingman Park",38.90025,-76.98635
"Howard University, Le Droit Park, Cardozo/Shaw",38.91605,-77.03383
"Shaw, Logan Circle",38.91118,-77.03371
"Shaw, Logan Circle",38.90811,-77.02625
"West End, Foggy Bottom, GWU",38.89938,-77.05237
"Union Station, Stanton Park, Kingman Park",38.90623,-77.00709
"Capitol Hill, Lincoln Park",38.8801,-76.99713
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90246,-77.01713
"Capitol Hill, Lincoln Park",38.88635,-77.00181
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91202,-77.04907
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87995,-77.01957
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9275,-77.03002
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90516,-77.01336
"Ivy City, Arboretum, Trinidad, Carver Langston",38.89962,-76.97918
Historic Anacostia,38.86339,-76.97886
"Union Station, Stanton Park, Kingman Park",38.9001,-76.99877
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8818,-77.01817
"Union Station, Stanton Park, Kingman Park",38.89469,-77.00164
"Georgetown, Burleith/Hillandale",38.90987,-77.05751
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92346,-77.03556
"Union Station, Stanton Park, Kingman Park",38.89491,-76.98266
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92691,-77.0289
"Capitol View, Marshall Heights, Benning Heights",38.88269,-76.94007
"Union Station, Stanton Park, Kingman Park",38.90093,-76.9865
"Colonial Village, Shepherd Park, North Portal Estates",38.98704,-77.04569
"Union Station, Stanton Park, Kingman Park",38.89502,-77.00133
"Colonial Village, Shepherd Park, North Portal Estates",38.98719,-77.04449
"Union Station, Stanton Park, Kingman Park",38.89588,-76.98313
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92698,-77.03923
"Colonial Village, Shepherd Park, North Portal Estates",38.98715,-77.04569
"Near Southeast, Navy Yard",38.87241,-77.00774
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93384,-77.03766
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85392,-76.9724
"Capitol Hill, Lincoln Park",38.88631,-76.98766
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91337,-77.00648
"Shaw, Logan Circle",38.91223,-77.02281
"Howard University, Le Droit Park, Cardozo/Shaw",38.91916,-77.02238
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89656,-77.02321
"Capitol Hill, Lincoln Park",38.87976,-76.99183
"North Cleveland Park, Forest Hills, Van Ness",38.9512,-77.066
"Capitol Hill, Lincoln Park",38.88886,-77.00077
"Union Station, Stanton Park, Kingman Park",38.89342,-76.9918
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90008255088257,-77.02774751246999
"Union Station, Stanton Park, Kingman Park",38.89733,-77.00083
"Dupont Circle, Connecticut Avenue/K Street",38.91024,-77.04561
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93346,-77.03128
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92544,-77.03537
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92539,-77.04148
"Capitol Hill, Lincoln Park",38.88206,-77.00454
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92608,-77.04181
"Union Station, Stanton Park, Kingman Park",38.89242,-77.00117
"Capitol Hill, Lincoln Park",38.8882,-76.98731
"Mayfair, Hillbrook, Mahaning Heights",38.89648,-76.94807
"Dupont Circle, Connecticut Avenue/K Street",38.91241,-77.03786
"Capitol Hill, Lincoln Park",38.88048,-76.99442
"Kalorama Heights, Adams Morgan, Lanier Heights",38.9241,-77.045
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92825,-77.03209
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92782,-77.05508
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90499,-77.02552
"West End, Foggy Bottom, GWU",38.90761,-77.0524
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87805,-77.01549
"West End, Foggy Bottom, GWU",38.90787,-77.04901
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93532,-77.03845
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9205,-77.01207
"Union Station, Stanton Park, Kingman Park",38.90011,-76.99006
"Georgetown, Burleith/Hillandale",38.91289,-77.07197
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92648,-77.03875
"Dupont Circle, Connecticut Avenue/K Street",38.91496,-77.03983
"Capitol Hill, Lincoln Park",38.89093,-76.99431
"Friendship Heights, American University Park, Tenleytown",38.94476,-77.08586
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93179,-77.0224
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92665,-77.03266
"Capitol Hill, Lincoln Park",38.88482,-76.99314
"Union Station, Stanton Park, Kingman Park",38.89863,-77.00105
"Near Southeast, Navy Yard",38.87958,-76.99838
"North Cleveland Park, Forest Hills, Van Ness",38.95214,-77.06945
"Dupont Circle, Connecticut Avenue/K Street",38.91468,-77.0445
"Dupont Circle, Connecticut Avenue/K Street",38.90263,-77.04758
"Brightwood Park, Crestwood, Petworth",38.9383,-77.02154
"North Cleveland Park, Forest Hills, Van Ness",38.9511,-77.0663
"North Cleveland Park, Forest Hills, Van Ness",38.95061,-77.06501
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.94487,-77.00797
"Union Station, Stanton Park, Kingman Park",38.89853,-76.98907
"Capitol Hill, Lincoln Park",38.87908,-76.9927
"Howard University, Le Droit Park, Cardozo/Shaw",38.91917,-77.01562
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9213,-77.01138
"Kalorama Heights, Adams Morgan, Lanier Heights",38.9149,-77.04972
"Capitol Hill, Lincoln Park",38.88381,-77.00116
"Union Station, Stanton Park, Kingman Park",38.89392,-77.00177
"Shaw, Logan Circle",38.9104,-77.02709
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91937,-77.01349
"Dupont Circle, Connecticut Avenue/K Street",38.91044,-77.03462
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88253,-77.01708
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93701,-77.06482
"Georgetown, Burleith/Hillandale",38.91206,-77.06558
"Brookland, Brentwood, Langdon",38.92366,-76.98084
"West End, Foggy Bottom, GWU",38.90344,-77.05044
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86453,-76.97491
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90529,-76.98236
"Union Station, Stanton Park, Kingman Park",38.89648,-76.98399
"Dupont Circle, Connecticut Avenue/K Street",38.91569,-77.04151
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.912650786979725,-77.01477102935314
"Dupont Circle, Connecticut Avenue/K Street",38.90997,-77.04557
"North Michigan Park, Michigan Park, University Heights",38.94625,-76.98115
"Brookland, Brentwood, Langdon",38.92377,-76.98026
"West End, Foggy Bottom, GWU",38.90324,-77.05234
"Brookland, Brentwood, Langdon",38.93345,-76.99167
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88048,-77.01821
"Brookland, Brentwood, Langdon",38.9253,-76.9837
"Union Station, Stanton Park, Kingman Park",38.90493,-77.00113
"Shaw, Logan Circle",38.91147,-77.02223
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92499,-77.00013
"Capitol Hill, Lincoln Park",38.88776,-76.98133
"Brightwood Park, Crestwood, Petworth",38.94868,-77.01984
"Shaw, Logan Circle",38.91044,-77.02146
"Dupont Circle, Connecticut Avenue/K Street",38.91695,-77.03865
"Shaw, Logan Circle",38.90805,-77.02715
"Capitol Hill, Lincoln Park",38.88474,-77.00349
"Friendship Heights, American University Park, Tenleytown",38.95162,-77.0948
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92064,-77.00979
"Shaw, Logan Circle",38.91071,-77.0228
"Capitol Hill, Lincoln Park",38.88101,-76.99893
"Mayfair, Hillbrook, Mahaning Heights",38.90045,-76.95043
"Shaw, Logan Circle",38.91155,-77.03273
"Friendship Heights, American University Park, Tenleytown",38.96091,-77.08014
"Near Southeast, Navy Yard",38.87978,-76.99912
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93451,-77.03201
"Shaw, Logan Circle",38.90673,-77.03065
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89965,-76.93504
"Georgetown, Burleith/Hillandale",38.90624,-77.06477
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93042,-77.04305
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86843483821632,-76.98580412845762
"Takoma, Brightwood, Manor Park",38.9657,-77.02255
"Capitol View, Marshall Heights, Benning Heights",38.87761,-76.94124
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92295,-77.04579
"Howard University, Le Droit Park, Cardozo/Shaw",38.91655,-77.02943
"Howard University, Le Droit Park, Cardozo/Shaw",38.91616,-77.02898
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Union Station, Stanton Park, Kingman Park",38.90297,-76.99387
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.0113
"Union Station, Stanton Park, Kingman Park",38.89862,-76.99468
"Georgetown, Burleith/Hillandale",38.91114,-77.06637
"Capitol View, Marshall Heights, Benning Heights",38.89052,-76.92665
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Georgetown, Burleith/Hillandale",38.91482,-77.07342
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91353,-77.01336
"Brightwood Park, Crestwood, Petworth",38.95308,-77.01565
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Dupont Circle, Connecticut Avenue/K Street",38.90308,-77.0486
"Union Station, Stanton Park, Kingman Park",38.89666,-76.98506
"Takoma, Brightwood, Manor Park",38.97455,-77.01403
"Brightwood Park, Crestwood, Petworth",38.93844,-77.02631
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87479,-77.01062
"Colonial Village, Shepherd Park, North Portal Estates",38.98053,-77.02711
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Georgetown, Burleith/Hillandale",38.91185,-77.06767
"Brightwood Park, Crestwood, Petworth",38.95178,-77.01795
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Shaw, Logan Circle",38.91258,-77.01893
"West End, Foggy Bottom, GWU",38.89995,-77.04628
"Shaw, Logan Circle",38.91258,-77.01893
"Shaw, Logan Circle",38.91258,-77.01893
"Dupont Circle, Connecticut Avenue/K Street",38.9168,-77.03767
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.87248,-76.97408
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9296,-77.02724
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90645,-76.99713
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Kalorama Heights, Adams Morgan, Lanier Heights",38.9191,-77.04488
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92098,-77.04192
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92066,-77.04639
"West End, Foggy Bottom, GWU",38.90172,-77.05228
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92878,-77.04357
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93054,-77.04347
"Colonial Village, Shepherd Park, North Portal Estates",38.99214,-77.04191
"Georgetown, Burleith/Hillandale",38.9098,-77.06075
"Union Station, Stanton Park, Kingman Park",38.89634,-76.99133
"Douglas, Shipley Terrace",38.84155,-76.98263
"Shaw, Logan Circle",38.91258,-77.01893
"River Terrace, Benning, Greenway, Dupont Park",38.8942,-76.95934
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92734,-77.03045
"Capitol Hill, Lincoln Park",38.88388,-77.00497
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90763,-77.0134
"Capitol Hill, Lincoln Park",38.88723,-76.99504
"Brightwood Park, Crestwood, Petworth",38.94352,-77.04099
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91056,-77.0798
"Capitol Hill, Lincoln Park",38.88647,-76.97843
"Union Station, Stanton Park, Kingman Park",38.89618,-77.00245
"Mayfair, Hillbrook, Mahaning Heights",38.89698,-76.9459
"Mayfair, Hillbrook, Mahaning Heights",38.89915,-76.94599
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93286,-77.02665
"Mayfair, Hillbrook, Mahaning Heights",38.89895,-76.94622
"Mayfair, Hillbrook, Mahaning Heights",38.89742,-76.94418
"Howard University, Le Droit Park, Cardozo/Shaw",38.91528,-77.01457
"Howard University, Le Droit Park, Cardozo/Shaw",38.91622,-77.01785
"Dupont Circle, Connecticut Avenue/K Street",38.909528893979775,-77.04665558071345
"Dupont Circle, Connecticut Avenue/K Street",38.908891759653336,-77.04651980789261
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92779,-77.02297
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92749,-77.06744
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92742,-77.02941
"Shaw, Logan Circle",38.91197,-77.02436
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91462,-77.00498
"Takoma, Brightwood, Manor Park",38.96908,-77.02492
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91611,-77.01106
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.90691,-76.93213
"Union Station, Stanton Park, Kingman Park",38.90511,-76.99892
"Union Station, Stanton Park, Kingman Park",38.90088,-76.99458
"Union Station, Stanton Park, Kingman Park",38.9045,-77.00221
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9183,-77.01291
"Union Station, Stanton Park, Kingman Park",38.90484,-77.00067
"Shaw, Logan Circle",38.91372,-77.0249
"Capitol Hill, Lincoln Park",38.88116,-76.98074
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91408,-77.00923
"Howard University, Le Droit Park, Cardozo/Shaw",38.91549,-77.01767
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96478,-77.00874
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92041,-77.03424
"Takoma, Brightwood, Manor Park",38.96557,-77.01859
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90974,-77.01518
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92239,-77.02789
"Dupont Circle, Connecticut Avenue/K Street",38.91137,-77.04363
"Cathedral Heights, McLean Gardens, Glover Park",38.91794,-77.07094
"Dupont Circle, Connecticut Avenue/K Street",38.91457,-77.04495
"Dupont Circle, Connecticut Avenue/K Street",38.91279,-77.04641
"Cathedral Heights, McLean Gardens, Glover Park",38.93538,-77.08308
"Colonial Village, Shepherd Park, North Portal Estates",38.98716,-77.03631
"Colonial Village, Shepherd Park, North Portal Estates",38.98558,-77.03458
"Capitol Hill, Lincoln Park",38.88922,-76.9983
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9321,-77.03704
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91317,-77.00985
"Howard University, Le Droit Park, Cardozo/Shaw",38.91446,-77.02062
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92828,-77.02837
"Brookland, Brentwood, Langdon",38.92865,-76.96929
"Union Station, Stanton Park, Kingman Park",38.89616,-76.9765
"Dupont Circle, Connecticut Avenue/K Street",38.91283,-77.0443
"Georgetown, Burleith/Hillandale",38.91127,-77.05487
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9125,-77.01356
"Union Station, Stanton Park, Kingman Park",38.90336,-76.99756
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89938,-77.01166
"Howard University, Le Droit Park, Cardozo/Shaw",38.91553,-77.01661
"Capitol Hill, Lincoln Park",38.88205,-76.99918
"Mayfair, Hillbrook, Mahaning Heights",38.89893,-76.94611
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9284,-77.03715
"Brightwood Park, Crestwood, Petworth",38.93896,-77.02599
"Brightwood Park, Crestwood, Petworth",38.95137722072485,-77.0324632152915
"Union Station, Stanton Park, Kingman Park",38.90451,-77.00221
"Shaw, Logan Circle",38.91026,-77.02266
"North Cleveland Park, Forest Hills, Van Ness",38.94274,-77.0615
"Kalorama Heights, Adams Morgan, Lanier Heights",38.91814,-77.04317
"Kalorama Heights, Adams Morgan, Lanier Heights",38.92293,-77.04567
"Dupont Circle, Connecticut Avenue/K Street",38.91137,-77.04363
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93282,-77.04197
"Congress Heights, Bellevue, Washington Highlands",38.84402,-76.99029
"Georgetown, Burleith/Hillandale",38.90603,-77.06562
"Shaw, Logan Circle",38.91236,-77.01786
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92685,-77.02985
"Woodridge, Fort Lincoln, Gateway",38.92602,-76.95904
"Capitol Hill, Lincoln Park",38.89135,-76.99921
"Union Station, Stanton Park, Kingman Park",38.89608,-76.99142
"Brightwood Park, Crestwood, Petworth",38.95469,-77.01673
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.921,-77.03533
Historic Anacostia,38.8624,-76.98879
"Georgetown, Burleith/Hillandale",38.90982,-77.05353
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88042,-77.02203
"Howard University, Le Droit Park, Cardozo/Shaw",38.91504,-77.03042
Historic Anacostia,38.8618,-76.98827
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9183,-77.01159
"Georgetown, Burleith/Hillandale",38.90475,-77.06279
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91521,-77.01404
"Dupont Circle, Connecticut Avenue/K Street",38.90701,-77.04617
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.94657,-77.00684
"Capitol Hill, Lincoln Park",38.880428,-76.984352
"Capitol Hill, Lincoln Park",38.88815,-76.97168
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9151,-77.01412
"Mayfair, Hillbrook, Mahaning Heights",38.89876,-76.94454
"Howard University, Le Droit Park, Cardozo/Shaw",38.91732,-77.01571
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9153,-77.01368
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.929966,-77.043526
"Union Station, Stanton Park, Kingman Park",38.89259,-76.99799
"Howard University, Le Droit Park, Cardozo/Shaw",38.91821,-77.02669
"Dupont Circle, Connecticut Avenue/K Street",38.91137,-77.04363
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.8983,-77.0169
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9303,-77.04068
"Capitol Hill, Lincoln Park",38.88985,-76.99052
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89998,-77.02018
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91008,-77.01637
"Union Station, Stanton Park, Kingman Park",38.8931,-76.99336
"Douglas, Shipley Terrace",38.85168,-76.97952
"River Terrace, Benning, Greenway, Dupont Park",38.89156,-76.94586
"Union Station, Stanton Park, Kingman Park",38.89265,-76.99809
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93172,-77.02742
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93729,-77.03404
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93706,-77.03277
"Georgetown, Burleith/Hillandale",38.90988,-77.05521
"Capitol Hill, Lincoln Park",38.88114,-76.98424
"Dupont Circle, Connecticut Avenue/K Street",38.91859,-77.03758
"North Michigan Park, Michigan Park, University Heights",38.94362,-76.98609
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95141,-77.01179
"Dupont Circle, Connecticut Avenue/K Street",38.91137,-77.04363
"West End, Foggy Bottom, GWU",38.90102,-77.05197
"Brightwood Park, Crestwood, Petworth",38.95643,-77.03275
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93796,-77.07382
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90712,-76.98868
"Ivy City, Arboretum, Trinidad, Carver Langston",38.90578,-76.98276
"North Cleveland Park, Forest Hills, Van Ness",38.9423,-77.05962
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90822,-77.01468
"Dupont Circle, Connecticut Avenue/K Street",38.90698,-77.04627
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.8803,-77.0144
"Howard University, Le Droit Park, Cardozo/Shaw",38.91602,-77.02739
"Brightwood Park, Crestwood, Petworth",38.93794,-77.02522
"Union Station, Stanton Park, Kingman Park",38.89342,-77.00082
"West End, Foggy Bottom, GWU",38.90753,-77.05238
"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91534,-77.01273
